inst,cell,kind,original_w_um,unit_w_um,l_um,units,rows,cols,guard_ring,mode,layout_created,wrapper_cell,unit_cell
X1,sky130_fd_pr__nfet_01v8_lvt,nfet,64.0,1.0,1.0,64,4,16,True,layout,True,UNITARR_X1_64x_W1p000_L1p000,MAGIC_GR_X1_UNIT_sky130_fd_pr__nfet_01v8_lvt
X2,sky130_fd_pr__nfet_01v8_lvt,nfet,64.0,1.0,1.0,64,4,16,True,layout,True,UNITARR_X2_64x_W1p000_L1p000,MAGIC_GR_X2_UNIT_sky130_fd_pr__nfet_01v8_lvt
X3,sky130_fd_pr__nfet_01v8_lvt,nfet,64.0,1.0,1.0,64,4,16,True,layout,True,UNITARR_X3_64x_W1p000_L1p000,MAGIC_GR_X3_UNIT_sky130_fd_pr__nfet_01v8_lvt
X9,sky130_fd_pr__pfet_01v8_lvt,pfet,15.0,1.0,1.0,15,2,8,False,layout,True,UNITARR_X9_15x_W1p000_L1p000,GEN_X9_UNIT_sky130_fd_pr__pfet_01v8_lvt_W1.0_L1.0_nf1
